num_trees,points_per_class,connectivity,neighborhood_size,kappa_multi,overall_multi,pa_water_multi,ua_water_multi,kappa_binary,overall_binary,pa_water_binary,ua_water_binary
100,250,8,128,0.79,82,94.0,85.0,0.95,97.4,96.94,97.94
100,250,8,256,0.81,84,92.0,96.0,0.96,97.92,96.94,98.96
100,300,4,128,0.83,86,89.0,93.0,0.83,91.79,82.61,100.0
100,300,4,256,0.85,88,89.0,99.0,0.85,92.82,84.78,100.0
100,300,8,128,0.81,84,88.0,95.0,0.87,93.33,86.96,98.77
100,300,8,256,0.79,82,89.0,83.0,0.87,93.33,85.87,100.0
100,350,4,128,0.84,86,92.0,96.0,0.92,95.79,95.6,95.6
100,350,4,256,0.81,85,94.0,97.0,0.95,97.37,96.7,97.78
100,350,8,128,0.78,82,93.0,82.0,0.88,94.21,95.6,92.55
100,350,8,256,0.78,82,91.0,91.0,0.88,94.21,93.41,94.44
100,400,4,128,0.82,85,93.0,95.0,0.92,95.79,95.6,95.6
100,400,4,256,0.81,84,92.0,98.0,0.95,97.37,96.7,97.78
100,400,8,128,0.8,83,89.0,98.0,0.88,94.21,95.6,92.55
100,400,8,256,0.79,83,92.0,95.0,0.88,94.21,93.41,94.44
500,50,4,128,0.79,83,92.0,92.0,0.76,88.0,83.49,93.81
500,50,4,256,0.79,82,90.0,98.0,0.72,86.0,76.15,97.65
500,50,8,128,0.78,82,88.0,97.0,0.79,89.5,80.73,100.0
500,50,8,256,0.74,78,86.0,99.0,0.77,88.5,79.82,98.86
500,100,4,128,0.79,83,92.0,92.0,0.85,92.59,91.3,93.33
500,100,4,256,0.79,82,90.0,98.0,0.87,93.65,93.48,93.48
500,100,8,128,0.78,82,88.0,97.0,0.86,93.12,93.48,92.47
500,100,8,256,0.74,78,86.0,99.0,0.89,94.71,94.57,94.57
500,150,4,128,0.79,83,92.0,92.0,0.83,91.67,86.05,94.87
500,150,4,256,0.79,82,90.0,98.0,0.9,95.31,90.7,98.73
500,150,8,128,0.78,82,88.0,97.0,0.86,93.23,90.7,93.98
