system:index,B10,B2,B3,B4,B5,B6,B7,Hillshade,MNDWI,NDVI,id,slope,.geo,Class,Sensor,B10_normalized
22_0,286.81927,0.1411688,0.12247239,0.10908639,0.097068116,0.09829741,0.069668464,171,0.10950311,-0.058297396,-511390341,27.078363,"{""geodesic"":false,""type"":""Point"",""coordinates"":[170.8858302288385,-43.20363638151022]}",BareSurface,LT04,0.5582096712952863
23_0,290.83658,0.18928051,0.19619305,0.18576214,0.17259014,0.17594486,0.1370116,255,0.054410443,-0.03675713,1429473695,35.85921,"{""geodesic"":false,""type"":""Point"",""coordinates"":[170.86323827482622,-43.23305711909055]}",BareSurface,LT04,0.6435673394960914
24_0,289.51324,0.13692366,0.12554409,0.1118248,0.09020248,0.09372991,0.076082096,194,0.14508867,-0.10702675,-77849318,7.7585406,"{""geodesic"":false,""type"":""Point"",""coordinates"":[170.911990965066,-43.244180810019785]}",BareSurface,LT04,0.6154497143596553
25_0,289.51324,0.12843335,0.11632901,0.10360955,0.09020248,0.109716155,0.08890936,178,0.029254561,-0.069175616,818290258,8.5580435,"{""geodesic"":false,""type"":""Point"",""coordinates"":[170.9097574550022,-43.25525484533875]}",BareSurface,LT04,0.6154497143596553
26_0,290.83658,0.12843335,0.11325731,0.09813271,0.083336845,0.086878665,0.07287528,176,0.13180362,-0.08153358,1208854149,12.20085,"{""geodesic"":false,""type"":""Point"",""coordinates"":[170.91048437499825,-43.26362976896962]}",BareSurface,LT04,0.6435673394960914
27_0,293.86685,0.13126345,0.10711392,0.10087112,0.083336845,0.10058116,0.07287528,202,0.031453602,-0.0951874,-1310306205,3.6339266,"{""geodesic"":false,""type"":""Point"",""coordinates"":[170.86751719717302,-43.304379098261265]}",BareSurface,LT04,0.7079529062606305
28_0,293.00906,0.1355086,0.11632901,0.10360955,0.08676966,0.08459492,0.066461645,207,0.1579408,-0.088454425,486005541,5.3983874,"{""geodesic"":false,""type"":""Point"",""coordinates"":[170.85345876793332,-43.30544250433319]}",BareSurface,LT04,0.6897270401447543
29_0,291.27435,0.1581494,0.14704594,0.13373217,0.11766504,0.123418644,0.10173663,215,0.08735819,-0.06391134,-97442955,9.622107,"{""geodesic"":false,""type"":""Point"",""coordinates"":[170.74200608905468,-43.332259164206214]}",BareSurface,LT04,0.6528688438381178
30_0,288.62238,0.17371495,0.15318933,0.14468583,0.11766504,0.102864906,0.08249573,204,0.19653815,-0.10299488,-582208706,4.167809,"{""geodesic"":false,""type"":""Point"",""coordinates"":[170.75680191042844,-43.33391240192659]}",BareSurface,LT04,0.5965211944561959
31_0,291.27435,0.1694698,0.15318933,0.139209,0.1279635,0.1257024,0.09852981,189,0.098557726,-0.0420908,1394727825,32.857174,"{""geodesic"":false,""type"":""Point"",""coordinates"":[170.66018477845137,-43.33906888833421]}",BareSurface,LT04,0.6528688438381178
32_0,289.51324,0.1836203,0.16854781,0.15837795,0.14169477,0.1211349,0.09852981,211,0.16367187,-0.05559711,1695891438,23.498272,"{""geodesic"":false,""type"":""Point"",""coordinates"":[170.61376346193046,-43.30569468746848]}",BareSurface,LT04,0.6154497143596553
33_0,289.51324,0.18928051,0.1716195,0.16111636,0.14169477,0.11885115,0.10173663,255,0.18166502,-0.064137645,1326308185,31.970123,"{""geodesic"":false,""type"":""Point"",""coordinates"":[170.61818017638873,-43.30922130734671]}",BareSurface,LT04,0.6154497143596553
